N,run,C,k
45,34,1.420913661195375,20
45,35,1.4177507113951813,20
45,36,1.420913301352992,20
45,37,1.421705957236437,20
45,38,1.4197791292811566,20
45,39,1.4191051474013534,20
45,40,1.4201011796558336,20
45,41,1.421343284224282,20
45,42,1.4223366253758314,20
45,43,1.4199763834200352,20
45,44,1.4190910178456615,20
45,45,1.4201286403752267,20
45,46,1.4191078859380737,20
45,47,1.4187714695512739,20
45,48,1.4231594772804332,20
45,49,1.4186791933886909,20
45,50,1.4210132125764712,20
45,51,1.420683791518043,20
45,52,1.4201865033318832,20
45,53,1.418587987413497,20
45,54,1.4181717885167395,20
45,55,1.4197096821903945,20
45,56,1.422791920543279,20
45,57,1.4172455937040545,20
45,58,1.4193729171983815,20
45,59,1.4156764028297737,20
45,60,1.4197833841061158,20
45,61,1.4210258779130298,20
45,62,1.418862213745574,20
45,63,1.4182757727040016,20
45,64,1.4235890434115228,20
45,65,1.4219330201175397,20
45,66,1.4186854289970177,20
45,67,1.420677404430606,20
45,68,1.4186630941919791,20
45,69,1.419892234618471,20
45,70,1.4214018665630292,20
45,71,1.4199369006506,20
45,72,1.4223766341448834,20
45,73,1.4204219540781375,20
45,74,1.4203351028606572,20
45,75,1.4195285192396763,20
45,76,1.4224202036700853,20
45,77,1.421362449569729,20
45,78,1.4224826856270525,20
45,79,1.4198364963546168,20
45,80,1.419823548259007,20
45,81,1.421597193266019,20
45,82,1.417921141389048,20
45,83,1.4202508532424134,20
45,84,1.4169386555316608,20
45,85,1.4181245392111832,20
45,86,1.4242447358338202,20
45,87,1.4161713993736473,20
45,88,1.4226040891660794,20
45,89,1.4237075214542507,20
45,90,1.4179392815158762,20
45,91,1.4203749114933224,20
45,92,1.4194272771046446,20
45,93,1.4225075554514444,20
45,94,1.4175768887450066,20
45,95,1.4179218847071742,20
45,96,1.4182941698852851,20
45,97,1.421027192500165,20
45,98,1.4220457977828995,20
45,99,1.4212456347723805,20
45,100,1.4195400661537363,20
50,1,1.422337984067324,20
50,2,1.418660285254482,20
50,3,1.4226940247024067,20
50,4,1.4181335165398405,20
50,5,1.4203393057913603,20
50,6,1.422464241484424,20
50,7,1.4207862971489678,20
50,8,1.4223855189052264,20
50,9,1.4220415234350674,20
50,10,1.4200472631246224,20
50,11,1.4187609654475808,20
50,12,1.416224773828864,20
50,13,1.420897046936485,20
50,14,1.4202074585130142,20
50,15,1.421441778213574,20
50,16,1.4189510914536625,20
50,17,1.420931000302995,20
50,18,1.4208330640817248,20
50,19,1.4191158706859779,20
50,20,1.4195698748171584,20
50,21,1.4191104893733244,20
50,22,1.4226992738398672,20
50,23,1.4190316078568836,20
50,24,1.421273671522272,20
50,25,1.4186093901367498,20
50,26,1.4167622201984298,20
50,27,1.4217558012128244,20
50,28,1.4200171000089266,20
50,29,1.4184983626446206,20
50,30,1.4199184100791753,20
50,31,1.4227085995029516,20
50,32,1.420482285138176,20
50,33,1.421462894270367,20
50,34,1.4194284076247097,20
50,35,1.4215988151352805,20
50,36,1.4229354022419334,20
50,37,1.420073593671359,20
50,38,1.422540930638955,20
50,39,1.4212566807401896,20
50,40,1.421035935078669,20
50,41,1.4224282189884172,20
50,42,1.4210311024005664,20
50,43,1.419712492863912,20
50,44,1.4196612175011916,20
50,45,1.4198461454203026,20
50,46,1.4182404996723148,20
50,47,1.4217773215644507,20
50,48,1.4226488468789993,20
50,49,1.4199904835906685,20
50,50,1.420299825020072,20
50,51,1.4212332288362794,20
50,52,1.4225043506791404,20
50,53,1.4204627812645547,20
50,54,1.4194675319435979,20
50,55,1.4220921586634434,20
50,56,1.4208011291401228,20
50,57,1.421249537460211,20
50,58,1.4201844486005173,20
50,59,1.4170706926976921,20
50,60,1.4205269820465465,20
50,61,1.4208020701433643,20
50,62,1.4191696487651566,20
50,63,1.4229829290014622,20
50,64,1.4197583734210764,20
50,65,1.4202069440058027,20
50,66,1.420552913028657,20
50,67,1.4199053102814518,20
50,68,1.4212251994283194,20
50,69,1.4232417498808718,20
50,70,1.4215074519715993,20
50,71,1.4192713786874667,20
50,72,1.420956883810001,20
50,73,1.4195508423876968,20
50,74,1.4180279773443267,20
50,75,1.4185634283596864,20
50,76,1.4200110367606917,20
50,77,1.417729349816851,20
50,78,1.4224145246476554,20
50,79,1.415002421669403,20
50,80,1.4240201406486888,20
50,81,1.4181944591256492,20
50,82,1.4215901715236454,20
50,83,1.4195696625434264,20
50,84,1.4222329928340258,20
50,85,1.4195660040676372,20
50,86,1.4228921943777753,20
50,87,1.419229762466839,20
50,88,1.4215232779152804,20
50,89,1.42401437205125,20
50,90,1.4217963142998735,20
50,91,1.4213558779834676,20
50,92,1.420608825336871,20
50,93,1.4192008161029663,20
50,94,1.420403183252783,20
50,95,1.4227888903327564,20
50,96,1.423983453388174,20
50,97,1.4196575263311804,20
50,98,1.4204556939221624,20
50,99,1.420950204127871,20
50,100,1.4235434799281022,20
55,1,1.4232189206392145,20
55,2,1.4219637367461027,20
55,3,1.4212485925502047,20
55,4,1.42056931662987,20
55,5,1.4201997594278541,20
55,6,1.419726392849603,20
55,7,1.4223966052242594,20
55,8,1.4217541398925102,20
55,9,1.4221493124113522,20
55,10,1.4188886708204878,20
55,11,1.4215520194285904,20
55,12,1.4231390797110741,20
55,13,1.420779732405788,20
55,14,1.4199727657499188,20
55,15,1.4226935753533294,20
55,16,1.4208521069817954,20
55,17,1.421781143043153,20
55,18,1.420565188272308,20
55,19,1.4234564084769956,20
55,20,1.4209524972331766,20
55,21,1.4225826750929085,20
55,22,1.422326129091366,20
55,23,1.4217040037240625,20
55,24,1.422231077525993,20
55,25,1.4192628257518694,20
55,26,1.4234393536586205,20
55,27,1.4227601088749744,20
55,28,1.4208150935470205,20
55,29,1.4196705533561864,20
55,30,1.4223469771663189,20
55,31,1.4211715713914321,20
55,32,1.4216237600815955,20
55,33,1.4217396142456542,20
55,34,1.4238244188349967,20
55,35,1.4216154464572748,20
55,36,1.4202041065636422,20
55,37,1.4228305433081123,20
55,38,1.4198944142007257,20
55,39,1.4200619622604997,20
55,40,1.4204586048933436,20
55,41,1.4208825900370083,20
55,42,1.4212479003596805,20
55,43,1.4209759956993895,20
55,44,1.4198569363960623,20
55,45,1.4213946008026819,20
